# time tx ty tz wx wy wz mx my mz qx qy qz qw
1535373528.918337 0.01368870120496 -9.798811912537 0.317683339119 0.0006083876360208 -0.002695637056604 0.007618424482644 0 0 0 -0.5814831256866 0.4081378877163 0.4077341854572 -0.5736320614815 
1535373528.928581 -0.008875735104084 -9.788562774658 0.3561290800571 -0.001585808466189 -0.002286311239004 0.007600872777402 0.06371142715216 0.1440186947584 -0.2482450902462 -0.5814908146858 0.4081410169601 0.4077336490154 -0.5736224651337 
1535373528.939125 -0.0185964256525 -9.796817779541 0.3208935856819 0.0004787840880454 -0.003126936266199 0.008379847742617 0.06369613111019 0.1423988193274 -0.2482218593359 -0.5814984440804 0.4081464707851 0.407731294632 -0.5736124515533 
1535373528.949419 -0.01307128183544 -9.798256874084 0.3189302384853 -0.0001120204251492 -0.001898160437122 0.007973888888955 0.06220474466681 0.1456921845675 -0.2465141862631 -0.5815071463585 0.4081509113312 0.4077252745628 -0.5736046433449 
1535373528.959662 0.008955319412053 -9.778091430664 0.3483837842941 0.0006823588046245 -0.002249029232189 0.007911085151136 0.06371189653873 0.1440093517303 -0.2491402626038 -0.5815188884735 0.408154219389 0.4077161550522 -0.573597073555 
1535373528.969855 -0.01996074616909 -9.80691242218 0.3438094854355 0.00105569139123 -0.001649651792832 0.009304884821177 0.06219784170389 0.1448632180691 -0.2482921779156 -0.5815309882164 0.4081548154354 0.4077089726925 -0.5735893845558 
1535373528.980228 0.003013852518052 -9.802451133728 0.3439182937145 -0.001259843353182 -0.003038066439331 0.007710893638432 0.06218143925071 0.1432717144489 -0.2455834448338 -0.5815387964249 0.4081586003304 0.4077012836933 -0.5735841989517 
1535373528.990541 0.02065690793097 -9.808101654053 0.322349190712 7.253907824634e-05 -0.002480599330738 0.007507750764489 0.06220437958837 0.1457015126944 -0.2456183284521 -0.5815467834473 0.4081598818302 0.4076977372169 -0.5735777616501 
1535373528.995901 -0.003289054147899 -9.819211959839 0.3535408377647 0.000689534470439 -0.002796289278194 0.008664172142744 0.06295052170753 0.144045650959 -0.2473683208227 -0.5815549492836 0.4081632494926 0.4076974093914 -0.5735672712326 
1535373529.006177 -0.01657202281058 -9.805438995361 0.3275634050369 -0.002184399403632 -0.001957039348781 0.007558133453131 0.06367910653353 0.1408165991306 -0.2446182519197 -0.5815637111664 0.4081656634808 0.4076946675777 -0.5735586881638 
1535373529.016438 0.004055699333549 -9.819894790649 0.3527222573757 2.865065471269e-05 -0.004118609707803 0.007835923694074 0.06371101737022 0.1440281569958 -0.2473500967026 -0.5815736651421 0.4081639349461 0.4076925814152 -0.5735512971878 
1535373529.026704 -0.02420124784112 -9.788054466248 0.367324411869 -0.0008285038056783 -0.001337621943094 0.008550430648029 0.06141364574432 0.1424699872732 -0.2464858591557 -0.5815800428391 0.4081707596779 0.4076885581017 -0.5735428929329 
1535373529.036880 -0.01208029687405 -9.816570281982 0.3524346351624 -0.0003506436769385 -0.003046815982088 0.007117216940969 0.06221285834908 0.1464927792549 -0.2474210560322 -0.5815886855125 0.4081754982471 0.4076862037182 -0.5735324025154 
1535373529.047113 -0.01782673038542 -9.812250137329 0.3205484747887 0.001611087936908 -0.0040163397789 0.00772479083389 0.06369504332542 0.1424269676208 -0.2455364316702 -0.5815957188606 0.4081834852695 0.4076831042767 -0.573521733284 
