# time tx ty tz wx wy wz mx my mz qx qy qz qw
1535373277.307985 9.795261383057 -0.0143183618784 0.3959712088108 -0.0006762864068151 -0.002570785349235 0.008506431244314 0 0 0 -0.7109943628311 -0.1252280175686 0.6811633706093 -0.1217440366745 
1535373277.318282 9.810286521912 -0.0133808394894 0.3934399783611 -0.001309015555307 -0.001638364978135 0.007921040058136 -0.14556632936 0.1167510971427 -0.2177099585533 -0.7109890580177 -0.1252309530973 0.6811680793762 -0.1217449009418 
1535373277.328501 9.79732131958 -0.01544474530965 0.4066061675549 -9.26529392018e-05 -0.002992389723659 0.00756223872304 -0.1464014649391 0.112596154213 -0.2130025476217 -0.7109831571579 -0.125238224864 0.6811733841896 -0.1217424795032 
1535373277.338707 9.804956436157 -0.01606314815581 0.4220134317875 3.761626430787e-06 -0.001583140343428 0.009048784151673 -0.1447978168726 0.1142189651728 -0.2157878577709 -0.710978448391 -0.1252438575029 0.681177854538 -0.1217394173145 
1535373277.348921 9.79295539856 -0.01365059707314 0.4044125974178 -0.001559696160257 -0.001629525329918 0.007120768539608 -0.1432018578053 0.114988155663 -0.219494715333 -0.7109822630882 -0.1252487152815 0.6811736226082 -0.1217357367277 
1535373277.359088 9.823593139648 -0.0239525437355 0.4327217340469 -0.0003273773181718 -0.00179455592297 0.00775811355561 -0.1447900682688 0.1150733679533 -0.2148669064045 -0.7109827399254 -0.1252572238445 0.6811721920967 -0.1217321157455 
1535373277.364231 9.785930633545 -0.01932794600725 0.4319406151772 -0.0004298845306039 -0.001408110489137 0.007370501756668 -0.143197208643 0.1159010455012 -0.2129750847816 -0.7109792232513 -0.1252645105124 0.6811754107475 -0.1217268258333 
1535373277.374439 9.818674087524 -0.04002442210913 0.4307229220867 -0.002440061420202 -0.00229296926409 0.00655470136553 -0.1447660624981 0.1176067143679 -0.214903190732 -0.7109889984131 -0.1252723187208 0.6811645030975 -0.1217227801681 
1535373277.384677 9.804611206055 0.003537055803463 0.4032769203186 6.270513404161e-05 -0.001806790940464 0.005336777772754 -0.1463764458895 0.1151200085878 -0.2139709442854 -0.710990190506 -0.1252798587084 0.6811624765396 -0.1217194348574 
1535373277.394869 9.796080589294 -0.04153148829937 0.4072236716747 -0.002237028907984 -0.002667936962098 0.006957365665585 -0.1447836756706 0.1159474924207 -0.21207934618 -0.7109826207161 -0.1252926439047 0.6811695098877 -0.1217111870646 
1535373277.405158 9.775354385376 -0.02631344459951 0.417544901371 -0.0001639069814701 -0.001263574929908 0.00646098703146 -0.1439720988274 0.1175595968962 -0.217683494091 -0.7109810709953 -0.1253039687872 0.6811695098877 -0.1217086315155 
1535373277.415396 9.821228027344 -0.02420284226537 0.3930258154869 -0.0007943063392304 -0.002014708705246 0.008575225248933 -0.1447885781527 0.115044079721 -0.2176661491394 -0.7109836339951 -0.1253123730421 0.6811657547951 -0.1217055991292 
1535373277.425648 9.759430885315 -0.03982922434807 0.4365926086903 -0.0009519624290988 -0.002746939426288 0.006922646425664 -0.1456073075533 0.1125681698322 -0.2139161527157 -0.7109812498093 -0.125318646431 0.681166946888 -0.1217065826058 
1535373277.435871 9.806476593018 -0.0184441935271 0.4328227937222 -0.001540481694974 -0.002976948861033 0.008298971690238 -0.1463201642036 0.1210004836321 -0.2168564498425 -0.7109806537628 -0.1253289282322 0.6811664104462 -0.1217027455568 
1535373277.446115 9.784557342529 -0.02816981635988 0.4139641821384 -0.001513484632596 -0.003528795903549 0.007303375285119 -0.1447682231665 0.1176255494356 -0.2130378633738 -0.7109759449959 -0.1253419220448 0.6811693310738 -0.1217006072402 
1535373277.456269 9.802188873291 -0.01620191335678 0.4044218957424 -0.0004532122111414 -0.003211235161871 0.00897909514606 -0.1456009596586 0.1134317368269 -0.2120626270771 -0.7109698653221 -0.1253449767828 0.6811751127243 -0.1217005699873 
1535373277.466515 9.791080474854 -0.02406618744135 0.4298232793808 -0.001310092047788 -0.0021267819684 0.007635542191565 -0.1439729630947 0.1175684705377 -0.2167512029409 -0.7109630703926 -0.1253505051136 0.6811814308167 -0.1216989681125 
1535373277.476809 9.795274734497 -0.01929768361151 0.416644603014 -0.0009329342283309 -0.003621409879997 0.009241191670299 -0.1455583572388 0.1176046654582 -0.2167883366346 -0.7109668850899 -0.1253581494093 0.6811761260033 -0.1216989010572 
1535373277.487015 9.791453361511 -0.02587482891977 0.4135538339615 -0.001723712310195 -0.002618645317852 0.00813033990562 -0.1439897269011 0.1159093081951 -0.2139271497726 -0.7109644412994 -0.1253652870655 0.6811775565147 -0.1216972917318 
1535373277.497271 9.797969818115 0.001519540557638 0.4119082391262 -0.001432480057701 -0.002528395503759 0.008411174640059 -0.1439798176289 0.1167146489024 -0.2176716476679 -0.7109662890434 -0.1253714859486 0.6811748743057 -0.1216955557466 
1535373277.507545 9.827729225159 -0.02560878545046 0.4509987831116 -0.002552502322942 -0.002010941272601 0.006220197305083 -0.1463655084372 0.1159252226353 -0.2177141904831 -0.7109636664391 -0.1253823041916 0.6811761856079 -0.1216919273138 
1535373277.517752 9.790658950806 -0.01794655993581 0.4053519964218 -0.001953130587935 -0.003036046866328 0.006617784965783 -0.1440122276545 0.1133667305112 -0.2148220539093 -0.7109689116478 -0.1253937035799 0.6811684370041 -0.1216931417584 
1535373277.527996 9.802270889282 -0.02048528939486 0.4066231250763 -0.003209561342373 -0.002175706904382 0.008070955052972 -0.145591199398 0.1142671331763 -0.2130059301853 -0.710964679718 -0.1254064440727 0.681170463562 -0.1216934472322 
1535373277.538279 9.819584846497 -0.02208887785673 0.4178191125393 -0.001177036203444 -0.001081922207959 0.007652936503291 -0.1463582515717 0.1167794540524 -0.2167935520411 -0.7109639048576 -0.1254164874554 0.6811695098877 -0.1216928958893 
1535373277.548525 9.833539009094 -0.02452273480594 0.3794299960136 -0.0007347186328843 -0.002411868888885 0.008571561425924 -0.1455101370811 0.1226816773415 -0.2159266769886 -0.7109524607658 -0.1254232227802 0.6811797618866 -0.1216959282756 
1535373277.558771 9.807570457458 -0.01514915097505 0.4085431694984 -0.0007245184388012 -0.002893301891163 0.009477542713284 -0.1463919430971 0.1134409382939 -0.2130124866962 -0.710946559906 -0.1254259645939 0.6811853051186 -0.1216956153512 
1535373277.569067 9.795742988586 -0.01704522967339 0.3817590475082 -0.0006498945876956 -0.00214208313264 0.008449818007648 -0.1455817073584 0.1150822043419 -0.2158172279596 -0.710944712162 -0.1254267096519 0.6811874508858 -0.1216943338513 
1535373277.574213 9.815362930298 -0.02636552788317 0.4202964901924 -0.0003522109473124 -0.002085404004902 0.007692930754274 -0.1455660313368 0.1167808696628 -0.2149081230164 -0.7109431624413 -0.1254263520241 0.6811892390251 -0.1216939240694 
1535373277.584421 9.796534538269 -0.02608350291848 0.4256316125393 0.0002830714511219 -0.002257267478853 0.01046767085791 -0.1448059529066 0.1134046539664 -0.2129745483398 -0.7109454274178 -0.1254280358553 0.6811867952347 -0.1216926500201 
1535373277.594709 9.80793762207 -0.03089886717498 0.3998680114746 -0.0003098656889051 -0.001332580228336 0.009590808302164 -0.1463497281075 0.1176143214107 -0.2177386730909 -0.7109471559525 -0.1254246979952 0.6811851859093 -0.1216952204704 
1535373277.604913 9.805080413818 -0.0156778935343 0.3797163367271 0.0008678162121214 -0.001337038585916 0.009735274128616 -0.1455802619457 0.1150529384613 -0.2186164855957 -0.710949242115 -0.1254190951586 0.681183218956 -0.1216991916299 
1535373277.615141 9.797157287598 -0.05942686647177 0.4525245428085 -0.001551487133838 -0.001515230396762 0.008603439666331 -0.142410710454 0.115019120276 -0.2148089408875 -0.7109494805336 -0.1254169344902 0.681183218956 -0.1216998919845 
