# time tx ty tz wx wy wz mx my mz qx qy qz qw
1535373363.845844 0.02466166950762 9.788135528564 0.322963565588 -0.0007660376140848 -0.0009453527163714 0.01028066966683 0 0 0 0.4166598916054 0.5819555521011 -0.569988489151 -0.4035288095474 
1535373363.856152 0.002448805607855 9.81383228302 0.3143320977688 -0.0001172962802229 -0.001555406139232 0.00989318266511 -0.03134998306632 -0.1271576434374 -0.2755355834961 0.4166631102562 0.5819625854492 -0.5699788928032 -0.4035289883614 
1535373363.866395 0.01969435252249 9.802812576294 0.3535794317722 -0.0009425220778212 -0.001954330364242 0.01059802994132 -0.0313435383141 -0.1264506280422 -0.275545746088 0.4166641831398 0.5819696784019 -0.5699714422226 -0.4035280048847 
1535373363.876613 0.02178596146405 9.784943580627 0.3335950374603 -0.001366046722978 -0.001280387630686 0.01128146238625 -0.03129809722304 -0.1214754655957 -0.2732724249363 0.4166606962681 0.5819831490517 -0.5699681639671 -0.4035167992115 
1535373363.886828 0.0134978890419 9.795384407043 0.3477063179016 -0.001446936046705 -0.001887715305202 0.01087810099125 -0.03198296949267 -0.1235748007894 -0.2724772393703 0.4166690409184 0.5819897055626 -0.5699573755264 -0.4035139977932 
1535373363.897382 0.02275026217103 9.79246711731 0.3453569412231 -0.002028160495684 -0.001373621751554 0.009495138190687 -0.03000359237194 -0.1250432133675 -0.2731911838055 0.4166791141033 0.5820015668869 -0.5699402689934 -0.4035106301308 
1535373363.907585 0.01355259865522 9.788641929626 0.2821030020714 -0.000930491136387 -0.002168920822442 0.01100863330066 -0.03135967254639 -0.1278264522552 -0.2716199457645 0.4166792631149 0.5820127129555 -0.5699329376221 -0.4035047292709 
1535373363.917760 0.02966816350818 9.787178993225 0.3038367629051 -0.001760206068866 -0.003431116696447 0.01235160417855 -0.03067433647811 -0.1257445216179 -0.273979306221 0.4166864156723 0.5820193886757 -0.56992405653 -0.4035001397133 
1535373363.928026 0.0500604249537 9.782471656799 0.3147322535515 0.0006904663750902 -0.00122090394143 0.01102794334292 -0.03062722831964 -0.1208019033074 -0.2748318612576 0.4166877567768 0.5820292830467 -0.5699164867401 -0.403495401144 
1535373363.938274 0.01457285508513 9.811889648438 0.2949849367142 -0.0001633931824472 -0.003148356452584 0.01042589917779 -0.03001809865236 -0.1264421641827 -0.2716085612774 0.4166920781136 0.5820356607437 -0.5699077248573 -0.4034941196442 
1535373363.948534 0.02972889132798 9.776441574097 0.316989928484 5.204358603805e-05 -0.001818239921704 0.01155044604093 -0.03001769073308 -0.126450330019 -0.272390127182 0.4166953861713 0.5820388793945 -0.5699015259743 -0.4034948647022 
1535373363.958742 0.01647985354066 9.780643463135 0.2909340262413 -0.001680659130216 -0.0005868547013961 0.01046103332192 -0.0306732878089 -0.1257603764534 -0.2755423784256 0.4167094826698 0.5820444226265 -0.5698887705803 -0.403490126133 
1535373363.969017 0.009537079371512 9.805702209473 0.3183179497719 -0.0009087579674087 -0.0001205940207001 0.009805369190872 -0.03001000732183 -0.1257592886686 -0.2739635407925 0.4167192280293 0.5820472836494 -0.5698738694191 -0.4034969806671 
1535373363.979268 0.02473696693778 9.805869102478 0.3169122338295 -0.001909653423354 -0.001377820502967 0.01020915340632 -0.03333268687129 -0.125642478466 -0.2701353728771 0.4167264401913 0.5820534825325 -0.5698611736298 -0.4034985005856 
1535373363.989506 0.01018776744604 9.802065849304 0.308004796505 -0.0008364153909497 -0.00211014598608 0.009958900511265 -0.03133105486631 -0.1250384300947 -0.2755690217018 0.4167284369469 0.5820646286011 -0.5698527693748 -0.4034922719002 
1535373363.994619 0.02319472841918 9.796947479248 0.3370735049248 -0.0002766968973447 -0.00109815900214 0.01118345372379 -0.03200808167458 -0.1264458447695 -0.2763459384441 0.416727155447 0.582073032856 -0.5698475837708 -0.4034888744354 
1535373364.004862 -0.00779385631904 9.785851478577 0.3007465004921 -0.00144659623038 -0.002162700053304 0.01037500519305 -0.02936821058393 -0.1278649121523 -0.2707926630974 0.4167356491089 0.5820803046227 -0.5698356032372 -0.4034865796566 
1535373364.015089 0.01766245812178 9.782795906067 0.301963031292 -0.0001883182994789 -0.002596122212708 0.01111193746328 -0.0306543726474 -0.1236318126321 -0.2747929096222 0.4167407751083 0.5820896029472 -0.5698216557503 -0.4034873843193 
1535373364.025332 -0.02286765538156 9.801481246948 0.3436256945133 -0.001748647773638 -0.001248323125765 0.01070172153413 -0.03067362494767 -0.1257613748312 -0.2755430936813 0.416746288538 0.5820959806442 -0.5698126554489 -0.403485417366 
1535373364.035559 0.02666945010424 9.809341430664 0.3492397367954 9.141060581896e-05 -0.002455257344991 0.00946794077754 -0.0313535220921 -0.127111569047 -0.2708492577076 0.4167482852936 0.582103073597 -0.5698015093803 -0.4034887552261 
1535373364.045720 0.0218148380518 9.837748527527 0.3081405758858 -0.0006437011179514 -0.0007289719069377 0.01065866649151 -0.03064902871847 -0.1228916049004 -0.2716762721539 0.4167582690716 0.5821072459221 -0.5697890520096 -0.4034900963306 
1535373364.055957 0.0317788682878 9.81492805481 0.3191994130611 -0.00097086338792 -0.001999352825806 0.01040196605027 -0.03266156092286 -0.1249675601721 -0.2716929912567 0.4167548418045 0.5821194052696 -0.5697860121727 -0.4034802913666 
